,202401,202352,202351,202350,202349,202348,202347,202346,202345,202344,202343,202342,202341,202340,202339,202338,202337,202336,202335,202334,202333,202332,202331,202330,202329,202328,202327,202326,202325,202324,202323,202322,202321,202320,202319,202318,202317,202316,202315,202314,202313,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301
umidmed,78.2456714285714,74.4551714285714,78.0150333333333,76.4389,82.6473166666667,80.7155571428571,73.3576142857143,92.2744,77.1454142857143,84.4129142857143,81.3637428571429,80.3508857142857,83.8657714285714,81.8225285714286,89.3748428571429,84.9685428571429,81.5181142857143,87.7114142857143,77.3571571428571,77.8207571428571,74.9387,79.6488857142857,84.8393714285714,83.0627285714286,79.9298,89.3171428571429,87.4232,80.1113428571429,85.5556285714286,86.6535,78.7901428571429,89.12533525,84.225142173913,83.0109277894737,89.818026,93.022592375,76.8502429230769,71.8078585714286,71.9851208571429,72.4154744285714,76.9286836521739,77.116741,87.24508125,89.755615,84.6427567058823,77.6589684545455,84.5537757777778,74.8175768571429,80.9038507142857,81.1892472857143,79.86877,66.4495465714286,65.3131172857143
umidmin,62.2645285714286,56.3960571428571,58.3203,55.743,69.82675,65.2979285714286,49.4873,84.2464142857143,60.7010285714286,72.1760428571429,65.1538857142857,69.2473571428571,68.6098285714286,63.9100571428571,80.4622857142857,71.1414,60.6932,77.9815285714286,51.5964,56.0327,48.9712857142857,59.9356857142857,65.6934428571429,67.4990428571429,57.9617285714286,76.5706714285714,71.4715142857143,64.9238285714286,70.3519428571429,75.6866428571429,57.2763,85.88225125,68.2594165217391,69.7252610526316,84.0810183333333,91.9501955,53.4067908846154,47.9621347142857,50.5066754285714,54.2802264285714,66.399981826087,62.816179,84.72497625,88.0669414285714,82.5910630588235,60.3537446363636,83.1692933333333,74.8175768571429,73.9255085714286,81.1892472857143,79.86877,48.227134,43.3693377142857
tempmed,22.4368571428571,22.9188857142857,26.5462,25.0133714285714,21.2626333333333,23.2538428571429,20.7461857142857,21.3024142857143,20.7266,19.8072571428571,20.1736285714286,18.4058428571429,16.7316857142857,16.6354857142857,16.8089857142857,21.5119285714286,17.1186714285714,17.0125714285714,14.3672571428571,15.6943142857143,15.9679571428571,17.5449285714286,17.0862285714286,16.2114,13.4218571428571,13.8833285714286,16.5154285714286,17.4240714285714,14.4476,12.3662,18.3553857142857,14.3125,19.7236839130435,15.7503611578947,16.3157894,19.375,20.3552633076923,18.8571424285714,22.962406,21.6165415714286,21.4980931304348,25.6030701666667,24.35416675,23.904762,22.9411764705882,22.4114831818182,23.1111111111111,24.7142857142857,25.5864661428571,24.8571428571429,24.4285714285714,25.819549,25.691729
tempmax,26.9856714285714,27.4945714285714,31.15325,30.7283285714286,24.2971,28.0056428571429,26.3974571428571,23.1848142857143,26.0949857142857,22.4355571428571,24.3778428571429,21.8496142857143,20.2593571428571,21.0062285714286,19.0241714285714,26.0237142857143,23.1376142857143,19.6637857142857,21.2761714285714,21.3201714285714,23.0733857142857,21.5669142857143,22.9954285714286,19.6673285714286,19.3689857142857,16.9947428571429,20.9522428571429,21.5368142857143,19.0956142857143,14.9718714285714,24.4405285714286,14.875,23.4347826086957,19.0,17.8,19.5,25.1923076923077,23.5714285714286,28.4285714285714,25.7142857142857,23.5652173913043,29.3333333333333,24.75,24.2857142857143,23.3529411764706,26.2727272727273,23.4444444444444,24.7142857142857,27.0,24.8571428571429,24.4285714285714,30.7142857142857,30.7142857142857
casprov,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
casprov_est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casprov_est_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notif_accum_year,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
